ticker,file_name,file_path,year,quarter,call_datetime_gmt,call_datetime_et,call_time_et,after_market_close,event_trading_day,exchange,market_index,date_source
AAPL,2016-Jan-26-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Jan-26-AAPL.txt,2016,Q1,2016-01-26 22:00:00,2016-01-26 17:00:00,17:00,True,2016-01-27,NASDAQ,^IXIC,original
AAPL,2016-Apr-26-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Apr-26-AAPL.txt,2016,Q2,2016-04-26 21:00:00,2016-04-26 17:00:00,17:00,True,2016-04-27,NASDAQ,^IXIC,original
AAPL,2016-Jul-26-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Jul-26-AAPL.txt,2016,Q3,2016-07-26 21:00:00,2016-07-26 17:00:00,17:00,True,2016-07-27,NASDAQ,^IXIC,original
AAPL,2016-Oct-25-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Oct-25-AAPL.txt,2016,Q4,2016-10-25 21:00:00,2016-10-25 17:00:00,17:00,True,2016-10-26,NASDAQ,^IXIC,original
AAPL,2017-Jan-31-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-Jan-31-AAPL.txt,2017,Q1,2017-01-31 22:00:00,2017-01-31 17:00:00,17:00,True,2017-02-01,NASDAQ,^IXIC,original
AAPL,2017-May-02-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-May-02-AAPL.txt,2017,Q2,2017-05-02 21:00:00,2017-05-02 17:00:00,17:00,True,2017-05-03,NASDAQ,^IXIC,original
AAPL,2017-Aug-01-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-Aug-01-AAPL.txt,2017,Q3,2017-08-01 21:00:00,2017-08-01 17:00:00,17:00,True,2017-08-02,NASDAQ,^IXIC,original
AAPL,2017-Nov-02-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-Nov-02-AAPL.txt,2017,Q4,2017-11-02 21:00:00,2017-11-02 17:00:00,17:00,True,2017-11-03,NASDAQ,^IXIC,original
AAPL,2018-Feb-01-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2018-Feb-01-AAPL.txt,2018,Q1,2018-02-01 22:00:00,2018-02-01 17:00:00,17:00,True,2018-02-02,NASDAQ,^IXIC,original
AAPL,2018_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2018_Q1_aapl_processed.txt,2018,Q1,,,,False,2018-04-30,NASDAQ,^IXIC,approx
AAPL,2018-May-01-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2018-May-01-AAPL.txt,2018,Q2,2018-05-01 21:00:00,2018-05-01 17:00:00,17:00,True,2018-05-02,NASDAQ,^IXIC,original
AAPL,2018_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2018_Q2_aapl_processed.txt,2018,Q2,,,,False,2018-07-31,NASDAQ,^IXIC,approx
AAPL,2018-Jul-31-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2018-Jul-31-AAPL.txt,2018,Q3,2018-07-31 21:00:00,2018-07-31 17:00:00,17:00,True,2018-08-01,NASDAQ,^IXIC,original
AAPL,2018_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2018_Q3_aapl_processed.txt,2018,Q3,,,,False,2018-10-31,NASDAQ,^IXIC,approx
AAPL,2018-Nov-01-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2018-Nov-01-AAPL.txt,2018,Q4,2018-11-01 21:00:00,2018-11-01 17:00:00,17:00,True,2018-11-02,NASDAQ,^IXIC,original
AAPL,2019-Jan-29-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2019-Jan-29-AAPL.txt,2019,Q1,2019-01-29 22:00:00,2019-01-29 17:00:00,17:00,True,2019-01-30,NASDAQ,^IXIC,original
AAPL,2018_Q4_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2018_Q4_aapl_processed.txt,2018,Q4,,,,False,2019-01-31,NASDAQ,^IXIC,approx
AAPL,2019_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2019_Q1_aapl_processed.txt,2019,Q1,,,,False,2019-04-30,NASDAQ,^IXIC,approx
AAPL,2019-Apr-30-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2019-Apr-30-AAPL.txt,2019,Q2,2019-04-30 21:00:00,2019-04-30 17:00:00,17:00,True,2019-05-01,NASDAQ,^IXIC,original
AAPL,2019_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2019_Q2_aapl_processed.txt,2019,Q2,,,,False,2019-07-31,NASDAQ,^IXIC,approx
AAPL,2019_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2019_Q3_aapl_processed.txt,2019,Q3,,,,False,2019-10-31,NASDAQ,^IXIC,approx
AAPL,2020-Jan-28-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2020-Jan-28-AAPL.txt,2020,Q1,2020-01-28 22:00:00,2020-01-28 17:00:00,17:00,True,2020-01-29,NASDAQ,^IXIC,original
AAPL,2019_Q4_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2019_Q4_aapl_processed.txt,2019,Q4,,,,False,2020-01-31,NASDAQ,^IXIC,approx
AAPL,2020_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2020_Q1_aapl_processed.txt,2020,Q1,,,,False,2020-04-30,NASDAQ,^IXIC,approx
AAPL,2020-Apr-30-AAPL.txt,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2020-Apr-30-AAPL.txt,2020,Q2,2020-04-30 21:00:00,2020-04-30 17:00:00,17:00,True,2020-05-01,NASDAQ,^IXIC,original
AAPL,2020_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2020_Q2_aapl_processed.txt,2020,Q2,,,,False,2020-07-31,NASDAQ,^IXIC,approx
AAPL,2020_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2020_Q3_aapl_processed.txt,2020,Q3,,,,False,2020-11-02,NASDAQ,^IXIC,approx
AAPL,2020_Q4_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2020_Q4_aapl_processed.txt,2020,Q4,,,,False,2021-02-01,NASDAQ,^IXIC,approx
AAPL,2021_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2021_Q1_aapl_processed.txt,2021,Q1,,,,False,2021-04-30,NASDAQ,^IXIC,approx
AAPL,2021_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2021_Q2_aapl_processed.txt,2021,Q2,,,,False,2021-08-02,NASDAQ,^IXIC,approx
AAPL,2021_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2021_Q3_aapl_processed.txt,2021,Q3,,,,False,2021-11-01,NASDAQ,^IXIC,approx
AAPL,2021_Q4_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2021_Q4_aapl_processed.txt,2021,Q4,,,,False,2022-01-31,NASDAQ,^IXIC,approx
AAPL,2022_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2022_Q1_aapl_processed.txt,2022,Q1,,,,False,2022-05-02,NASDAQ,^IXIC,approx
AAPL,2022_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2022_Q2_aapl_processed.txt,2022,Q2,,,,False,2022-08-01,NASDAQ,^IXIC,approx
AAPL,2022_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2022_Q3_aapl_processed.txt,2022,Q3,,,,False,2022-10-31,NASDAQ,^IXIC,approx
AAPL,2022_Q4_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2022_Q4_aapl_processed.txt,2022,Q4,,,,False,2023-01-31,NASDAQ,^IXIC,approx
AAPL,2023_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2023_Q1_aapl_processed.txt,2023,Q1,,,,False,2023-05-01,NASDAQ,^IXIC,approx
AAPL,2023_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2023_Q2_aapl_processed.txt,2023,Q2,,,,False,2023-07-31,NASDAQ,^IXIC,approx
AAPL,2023_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2023_Q3_aapl_processed.txt,2023,Q3,,,,False,2023-10-31,NASDAQ,^IXIC,approx
AAPL,2023_Q4_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2023_Q4_aapl_processed.txt,2023,Q4,,,,False,2024-01-31,NASDAQ,^IXIC,approx
AAPL,2024_Q1_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2024_Q1_aapl_processed.txt,2024,Q1,,,,False,2024-04-30,NASDAQ,^IXIC,approx
AAPL,2024_Q2_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2024_Q2_aapl_processed.txt,2024,Q2,,,,False,2024-07-31,NASDAQ,^IXIC,approx
AAPL,2024_Q3_aapl_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2024_Q3_aapl_processed.txt,2024,Q3,,,,False,2024-10-31,NASDAQ,^IXIC,approx
ACN,2018_Q1_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2018_Q1_acn_processed.txt,2018,Q1,,,,False,2018-04-30,NYSE,^GSPC,approx
ACN,2018_Q2_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2018_Q2_acn_processed.txt,2018,Q2,,,,False,2018-07-31,NYSE,^GSPC,approx
ACN,2018_Q3_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2018_Q3_acn_processed.txt,2018,Q3,,,,False,2018-10-31,NYSE,^GSPC,approx
ACN,2018_Q4_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2018_Q4_acn_processed.txt,2018,Q4,,,,False,2019-01-31,NYSE,^GSPC,approx
ACN,2019_Q1_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2019_Q1_acn_processed.txt,2019,Q1,,,,False,2019-04-30,NYSE,^GSPC,approx
ACN,2019_Q2_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2019_Q2_acn_processed.txt,2019,Q2,,,,False,2019-07-31,NYSE,^GSPC,approx
ACN,2019_Q3_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2019_Q3_acn_processed.txt,2019,Q3,,,,False,2019-10-31,NYSE,^GSPC,approx
ACN,2019_Q4_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2019_Q4_acn_processed.txt,2019,Q4,,,,False,2020-01-31,NYSE,^GSPC,approx
ACN,2020_Q1_acn_processed.txt,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Accenture/2020_Q1_acn_processed.txt,2020,Q1,,,,False,2020-04-30,NYSE,^GSPC,approx
